serial,title,language,info_url
SCUS-94666,C-12 - FINAL RESISTANCE,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94666.html
SLUS-01391,CABELA'S BIG GAME HUNTER - ULTIMATE CHALLENGE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01391.html
SLUS-01474,CABELA'S ULTIMATE DEER HUNT - OPEN SEASON,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01474.html
SLUS-00285,CAESAR'S PALACE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00285.html
SLUS-00780,CAESAR'S PALACE II,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00780.html
SLUS-01089,CAESAR'S PALACE 2000 - MILLENNIUM GOLD EDITION,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01089.html
SLUS-01476,CAPCOM VS SNK - MILLENNIUM FIGHT 2000 PRO,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01476.html
SLUS-00494,CAR & DRIVER PRESENTS - GRAND TOUR RACING '98,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00494.html
SLUS-01379,CARD GAMES,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01379.html
SCUS-94156,CARDINAL SYN,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94156.html
SCUS-94604SCUS-94964,CARNAGE HEART  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94604.html
SCUS-94416,CART WORLD SERIES,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94416.html
SLUS-00162,CASPER,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00162.html
SLUS-01245,CASPER - FRIENDS AROUND THE WORLD,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01245.html
SLUS-00067,CASTLEVANIA - SYMPHONY OF THE NIGHT,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00067.html
SLUS-01384,CASTLEVANIA - CHRONICLES,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01384.html
SLUS-00882,CASTROL HONDA SUPERBIKE RACING,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00882.html
SLUS-00807,CENTIPEDE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00807.html
SLUS-01084,CHAMPIONSHIP BASS,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01084.html
SLUS-00790,CHAMPIONSHIP MOTOCROSS - FEATURING RICKY CARMICHAEL,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00790.html
SLUS-01230,CHAMPIONSHIP MOTOCROSS 2001 - FEATURING RICKY CARMICHAEL,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01230.html
SLUS-01216,CHAMPIONSHIP SURFER,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01216.html
SLUS-01400,CHESS,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01400.html
SLUS-00886,CHESSMASTER II,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00886.html
SLUS-01304,CHICKEN RUN,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01304.html
SLUS-00844,CHOCOBO RACING,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00844.html
SLUS-00814,CHOCOBO'S DUNGEON 2,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00814.html
SCUS-94700SCUS-94701,CHRONICLES OF THE SWORD  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94700.html
